book_id,title,author,isbn,genre,difficulty_band,reading_level,publication_year,page_count,average_rating
OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,,"[""fantasy"", ""science_fiction"", ""adventure"", ""humor"", ""science"", ""geography"", ""art"", ""historical_fiction"", ""nature""]",beginner,2.0,1900,150,4.0
OL21177W,Wuthering Heights,Emily Brontë,,"[""romance"", ""historical_fiction""]",high_school,10.0,1900,150,4.0
OL8193497W,A Christmas Carol,Charles Dickens,,"[""fantasy"", ""humor"", ""adventure"", ""horror"", ""art"", ""music"", ""historical_fiction"", ""nature""]",middle_school,7.0,1900,150,4.0
OL53908W,Adventures of Huckleberry Finn,Mark Twain,,"[""humor"", ""sports"", ""adventure"", ""historical_fiction""]",middle_school,7.0,1900,150,4.0
OL66513W,Emma,Jane Austen,,"[""humor"", ""romance"", ""historical_fiction""]",high_school,10.0,1900,150,4.0
OL8193478W,Oliver Twist,Charles Dickens,,"[""mystery"", ""adventure"", ""historical_fiction""]",middle_school,7.0,1900,150,4.0
OL450063W,Frankenstein or The Modern Prometheus,Mary Shelley,,"[""science_fiction"", ""science"", ""horror"", ""art"", ""romance"", ""historical_fiction""]",middle_school,7.0,1900,150,4.0
OL8193465W,A Tale of Two Cities,Charles Dickens,,"[""historical_fiction""]",early_elementary,4.5,1900,150,4.0
OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,,"[""fantasy"", ""science_fiction"", ""adventure"", ""science"", ""historical_fiction""]",beginner,2.0,1900,150,4.0
OL24034W,Treasure Island,Robert Louis Stevenson,,"[""fantasy"", ""art"", ""adventure"", ""historical_fiction""]",middle_school,7.0,1900,150,4.0
OL29983W,Little Women,Louisa May Alcott,,"[""nature"", ""adventure"", ""romance"", ""historical_fiction""]",middle_school,7.0,1900,150,4.0
OL20600W,Gulliver's Travels,Jonathan Swift,,"[""fantasy"", ""humor"", ""adventure"", ""geography"", ""biography"", ""historical_fiction""]",middle_school,7.0,1900,150,4.0
OL69612W,The Secret Garden,Frances Hodgson Burnett,,"[""fantasy"", ""adventure"", ""art"", ""romance"", ""historical_fiction"", ""mystery""]",early_elementary,4.5,1900,150,4.0
OL14942956W,The Call of the Wild,Jack London,,"[""fantasy"", ""adventure"", ""art"", ""romance"", ""historical_fiction"", ""nature""]",early_elementary,4.5,1900,150,4.0
OL151406W,Through the Looking-Glass,Lewis Carroll,,"[""fantasy"", ""humor"", ""adventure"", ""science"", ""mathematics"", ""geography"", ""art"", ""nature""]",early_elementary,4.5,1900,150,4.0
OL28570037W,Wind in the Willows,Kenneth Grahame,,"[""fantasy"", ""humor"", ""adventure"", ""art"", ""historical_fiction"", ""nature""]",beginner,2.0,1900,150,4.0
OL262454W,The Hound of the Baskervilles,Arthur Conan Doyle,,"[""nature"", ""mystery"", ""art"", ""historical_fiction""]",early_elementary,4.5,1900,150,4.0
OL77746W,Anne of Green Gables,Lucy Maud Montgomery,,"[""fantasy"", ""art"", ""historical_fiction"", ""biography""]",early_elementary,4.5,1900,150,4.0
OL1095427W,Jane Eyre,Charlotte Brontë,,"[""art"", ""romance"", ""historical_fiction""]",early_elementary,4.5,1900,150,4.0
OL52267W,The Time Machine,H. G. Wells,,"[""fantasy"", ""science_fiction"", ""adventure"", ""science"", ""art"", ""historical_fiction""]",early_elementary,4.5,1900,150,4.0
OL17575002W,The Princess and the Bubs,Anamaria Rose,,"[""fantasy"", ""adventure"", ""humor""]",beginner,2.0,1900,150,4.0
OL476664W,Walt Disney Productions' Winnie-the-Pooh and Eeyore's House,A. A. Milne,,"[""nature""]",early_elementary,3.0,1900,150,4.0
OL1979693W,Where Will the Animals Stay?,Stephanie Calmenson,,"[""nature"", ""art""]",beginner,2.0,1900,150,4.0
OL17336768W,Pinkie Pie Keeps a Secret,Magnolia Belle,,"[""art""]",beginner,2.0,1900,150,4.0
OL17336774W,We Like Spike!,Jennifer Fox,,"[""fantasy"", ""art""]",beginner,2.0,1900,150,4.0
